epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.514,1.62576,4.33419,1.66475,0.79929,0.7262,0.82651,0.42797,1.63736,2.11978,1.65522,0.000413793,0.000413793,0.000413793
2,379.918,1.48446,2.14547,1.47563,0.84333,0.83088,0.8784,0.4676,1.56235,1.33073,1.61484,0.000822238,0.000822238,0.000822238
3,550.733,1.47086,1.42195,1.47321,0.89758,0.82967,0.90448,0.50479,1.54841,1.51037,1.62066,0.00122243,0.00122243,0.00122243
4,721.318,1.45691,1.17718,1.46203,0.91876,0.8181,0.90196,0.47455,1.59639,1.13085,1.62437,0.00121287,0.00121287,0.00121287
5,890.374,1.44333,1.06532,1.44627,0.89023,0.89824,0.93796,0.54098,1.52265,1.00854,1.67172,0.0012005,0.0012005,0.0012005
6,1059.73,1.42269,0.97995,1.43404,0.92188,0.89228,0.92584,0.51878,1.51733,0.97479,1.58747,0.00118812,0.00118812,0.00118812
7,1229.24,1.40619,0.92961,1.41635,0.90358,0.93764,0.94853,0.55073,1.4682,0.90271,1.56298,0.00117575,0.00117575,0.00117575
8,1399.14,1.38424,0.89299,1.39555,0.92235,0.92146,0.9521,0.57566,1.42347,0.84006,1.51222,0.00116337,0.00116337,0.00116337
9,1567.86,1.36283,0.86043,1.39391,0.90466,0.93275,0.95876,0.55949,1.47297,0.88497,1.56824,0.001151,0.001151,0.001151
10,1736.33,1.36902,0.84261,1.39638,0.94748,0.91846,0.94723,0.56458,1.49955,0.83851,1.60217,0.00113863,0.00113863,0.00113863
11,1906.06,1.3549,0.81787,1.3906,0.91961,0.94965,0.95583,0.58057,1.41828,0.73558,1.56344,0.00112625,0.00112625,0.00112625
12,2076.5,1.35224,0.80782,1.38608,0.94074,0.95262,0.96629,0.57781,1.45762,0.76489,1.54738,0.00111388,0.00111388,0.00111388
13,2252.58,1.34085,0.79587,1.37729,0.90271,0.95134,0.94803,0.57101,1.4084,0.79831,1.55642,0.0011015,0.0011015,0.0011015
14,2421.91,1.33301,0.78116,1.37283,0.93523,0.93631,0.96054,0.57992,1.42717,0.76775,1.54786,0.00108913,0.00108913,0.00108913
15,2591.85,1.3129,0.76733,1.36281,0.95901,0.93762,0.97271,0.59963,1.39029,0.71188,1.51936,0.00107675,0.00107675,0.00107675
16,2761.7,1.30496,0.74672,1.36251,0.92941,0.96601,0.95564,0.58074,1.46517,0.70198,1.57348,0.00106437,0.00106437,0.00106437
17,2930.57,1.29863,0.73555,1.35835,0.93987,0.94551,0.96875,0.58138,1.41262,0.70944,1.52153,0.001052,0.001052,0.001052
18,3100.27,1.29338,0.73404,1.34963,0.94026,0.97912,0.97001,0.58785,1.38979,0.67567,1.52644,0.00103962,0.00103962,0.00103962
19,3270.2,1.29216,0.72564,1.35612,0.95731,0.96397,0.97924,0.59116,1.43249,0.69157,1.54803,0.00102725,0.00102725,0.00102725
20,3438.58,1.28495,0.72227,1.34508,0.9591,0.95869,0.97598,0.59946,1.36209,0.67112,1.48607,0.00101488,0.00101488,0.00101488
21,3608.4,1.274,0.71097,1.3445,0.94598,0.96074,0.97946,0.59927,1.39818,0.66114,1.54448,0.0010025,0.0010025,0.0010025
22,3778.48,1.26081,0.70768,1.33263,0.94794,0.96009,0.97303,0.58708,1.41758,0.68197,1.52438,0.000990125,0.000990125,0.000990125
23,3947.16,1.24953,0.68746,1.32749,0.9349,0.9577,0.97501,0.58748,1.41553,0.66947,1.52552,0.00097775,0.00097775,0.00097775
24,4116.18,1.24937,0.70365,1.33833,0.9453,0.95894,0.96992,0.60938,1.37135,0.63204,1.52287,0.000965375,0.000965375,0.000965375
25,4285.77,1.23445,0.6835,1.32493,0.95766,0.97397,0.97458,0.60977,1.3997,0.62492,1.55386,0.000953,0.000953,0.000953
26,4454.96,1.24281,0.67994,1.31768,0.93775,0.97753,0.97086,0.6096,1.36146,0.62312,1.52607,0.000940625,0.000940625,0.000940625
27,4625.21,1.23425,0.65721,1.32661,0.94497,0.97341,0.96186,0.59001,1.42659,0.64847,1.55089,0.00092825,0.00092825,0.00092825
28,4795.25,1.23754,0.66841,1.31683,0.95193,0.95967,0.97956,0.60045,1.40899,0.6436,1.53103,0.000915875,0.000915875,0.000915875
29,4963.79,1.2255,0.65409,1.3133,0.93072,0.96207,0.9691,0.59883,1.42329,0.64487,1.57802,0.0009035,0.0009035,0.0009035
30,5133.26,1.21257,0.64365,1.3088,0.96114,0.97251,0.98533,0.60947,1.39857,0.59957,1.54428,0.000891125,0.000891125,0.000891125
31,5302.93,1.20089,0.63644,1.30775,0.95009,0.95736,0.97546,0.63255,1.34689,0.59651,1.512,0.00087875,0.00087875,0.00087875
32,5470.75,1.20245,0.63231,1.30493,0.93072,0.97118,0.96866,0.60234,1.39773,0.61549,1.53575,0.000866375,0.000866375,0.000866375
33,5642.24,1.19976,0.61867,1.30388,0.94328,0.96997,0.9762,0.6175,1.38636,0.59253,1.53474,0.000854,0.000854,0.000854
34,5810.56,1.1882,0.61987,1.29746,0.95947,0.97568,0.9793,0.61277,1.39478,0.59006,1.54713,0.000841625,0.000841625,0.000841625
35,5979.87,1.18169,0.62304,1.30345,0.94246,0.97587,0.97731,0.61344,1.37438,0.58744,1.52656,0.00082925,0.00082925,0.00082925
36,6149.67,1.17552,0.6236,1.29136,0.94393,0.96366,0.97375,0.60977,1.40414,0.60944,1.55208,0.000816875,0.000816875,0.000816875
37,6319.36,1.17431,0.61365,1.28973,0.93234,0.96617,0.96334,0.60543,1.39825,0.61033,1.55938,0.0008045,0.0008045,0.0008045
38,6487.74,1.16264,0.59769,1.28787,0.9539,0.95481,0.97582,0.61694,1.38146,0.58501,1.55274,0.000792125,0.000792125,0.000792125
39,6657.25,1.15608,0.60288,1.2788,0.95019,0.96568,0.98061,0.61628,1.38062,0.59044,1.53614,0.00077975,0.00077975,0.00077975
40,6827.11,1.14519,0.58592,1.26876,0.94749,0.97474,0.98161,0.6166,1.37537,0.57936,1.54621,0.000767375,0.000767375,0.000767375
41,6995.02,1.13505,0.5788,1.26256,0.95052,0.96645,0.97414,0.61338,1.38873,0.58358,1.54118,0.000755,0.000755,0.000755
42,7165.45,1.14598,0.58725,1.27519,0.94849,0.96937,0.98141,0.62274,1.38427,0.57895,1.51924,0.000742625,0.000742625,0.000742625
43,7335.02,1.13164,0.57567,1.26408,0.95019,0.96447,0.97388,0.61751,1.38463,0.59421,1.5682,0.00073025,0.00073025,0.00073025
44,7505.89,1.12475,0.57163,1.26367,0.95205,0.96914,0.9806,0.61618,1.3955,0.56743,1.56526,0.000717875,0.000717875,0.000717875
45,7676.1,1.12759,0.57538,1.26152,0.94146,0.96967,0.97857,0.62271,1.39115,0.57404,1.56691,0.0007055,0.0007055,0.0007055
46,7843.53,1.11577,0.56574,1.25651,0.94036,0.97873,0.98096,0.62521,1.36509,0.58101,1.52386,0.000693125,0.000693125,0.000693125
47,8013.16,1.11028,0.56153,1.24729,0.95155,0.97254,0.97455,0.61825,1.39574,0.55717,1.57271,0.00068075,0.00068075,0.00068075
48,8182.96,1.09691,0.55287,1.24512,0.94444,0.96144,0.97801,0.60597,1.43329,0.57936,1.62363,0.000668375,0.000668375,0.000668375
49,8352.07,1.09502,0.55556,1.24581,0.95144,0.98135,0.98398,0.62609,1.38096,0.55036,1.55069,0.000656,0.000656,0.000656
50,8521.58,1.08869,0.55325,1.24158,0.95118,0.96452,0.98035,0.62227,1.37891,0.54213,1.54467,0.000643625,0.000643625,0.000643625
51,8689.23,1.07864,0.55221,1.23232,0.93067,0.98704,0.97561,0.61173,1.39779,0.56461,1.55227,0.00063125,0.00063125,0.00063125
52,8858.55,1.08567,0.55565,1.23857,0.96273,0.9702,0.98351,0.62961,1.38357,0.54937,1.56664,0.000618875,0.000618875,0.000618875
53,9028.77,1.0746,0.54487,1.23229,0.94744,0.96873,0.97216,0.60965,1.42241,0.56114,1.61371,0.0006065,0.0006065,0.0006065
54,9197.2,1.0679,0.53694,1.2301,0.95823,0.97841,0.98283,0.61937,1.39819,0.54648,1.59397,0.000594125,0.000594125,0.000594125
55,9366.81,1.05947,0.54163,1.22595,0.95958,0.97807,0.9837,0.62518,1.38261,0.54596,1.55655,0.00058175,0.00058175,0.00058175
56,9536.33,1.06236,0.5343,1.22727,0.95317,0.97225,0.98421,0.62248,1.40466,0.53061,1.59769,0.000569375,0.000569375,0.000569375
57,9705.57,1.04773,0.53005,1.2219,0.96537,0.97561,0.98351,0.63403,1.36036,0.5256,1.54262,0.000557,0.000557,0.000557
58,9874.24,1.0483,0.52711,1.22351,0.95214,0.98032,0.98151,0.62319,1.38374,0.53403,1.56628,0.000544625,0.000544625,0.000544625
59,10042.8,1.04012,0.51736,1.21726,0.94793,0.97142,0.97837,0.62382,1.39024,0.53416,1.59267,0.00053225,0.00053225,0.00053225
60,10211.8,1.02991,0.51637,1.20794,0.95344,0.97568,0.9834,0.62052,1.43401,0.53469,1.62044,0.000519875,0.000519875,0.000519875
61,10380,1.03096,0.51466,1.21003,0.95514,0.97126,0.97948,0.63003,1.39708,0.53657,1.59106,0.0005075,0.0005075,0.0005075
62,10548,1.02004,0.51172,1.20279,0.9665,0.98747,0.98492,0.62656,1.40034,0.5322,1.60263,0.000495125,0.000495125,0.000495125
63,10717,1.01546,0.51095,1.20144,0.95649,0.9754,0.97737,0.62464,1.37289,0.53027,1.56396,0.00048275,0.00048275,0.00048275
64,10886.3,1.01678,0.50491,1.20096,0.95042,0.97031,0.98263,0.62679,1.37348,0.52997,1.56486,0.000470375,0.000470375,0.000470375
65,11055.5,1.00655,0.50122,1.19513,0.94885,0.98007,0.98092,0.62227,1.39049,0.51799,1.57098,0.000458,0.000458,0.000458
66,11225.6,1.00347,0.49677,1.18986,0.9573,0.98113,0.98478,0.62926,1.38578,0.51712,1.57748,0.000445625,0.000445625,0.000445625
67,11393.8,0.99071,0.49622,1.1919,0.95494,0.97618,0.98172,0.62487,1.38599,0.51306,1.56598,0.00043325,0.00043325,0.00043325
68,11563.4,0.98066,0.48638,1.1794,0.961,0.97054,0.98402,0.62785,1.39048,0.51997,1.5854,0.000420875,0.000420875,0.000420875
69,11733.6,0.98685,0.48605,1.17983,0.95805,0.98137,0.9821,0.62025,1.40534,0.51025,1.59128,0.0004085,0.0004085,0.0004085
70,11902.3,0.97429,0.47866,1.17325,0.94965,0.99103,0.98325,0.61801,1.40159,0.51292,1.60384,0.000396125,0.000396125,0.000396125
71,12071.8,0.97607,0.48467,1.17498,0.96838,0.98226,0.98614,0.6272,1.39475,0.50849,1.59592,0.00038375,0.00038375,0.00038375
72,12241.5,0.95681,0.47571,1.17295,0.96351,0.97621,0.98515,0.62829,1.40938,0.5153,1.61159,0.000371375,0.000371375,0.000371375
73,12411.2,0.9671,0.47522,1.17585,0.96491,0.97255,0.98093,0.63882,1.38795,0.51162,1.60213,0.000359,0.000359,0.000359
74,12579.9,0.95515,0.47044,1.16552,0.95574,0.97598,0.98338,0.63948,1.38227,0.5078,1.59434,0.000346625,0.000346625,0.000346625
75,12748,0.95583,0.47597,1.16859,0.96112,0.97721,0.98364,0.6306,1.40306,0.50947,1.60964,0.00033425,0.00033425,0.00033425
76,12917.2,0.94417,0.46813,1.16282,0.96008,0.98456,0.98421,0.63468,1.39352,0.50666,1.60346,0.000321875,0.000321875,0.000321875
77,13086.3,0.93667,0.47011,1.15791,0.95416,0.97786,0.98409,0.62999,1.40816,0.51797,1.61018,0.0003095,0.0003095,0.0003095
78,13255.7,0.93271,0.459,1.15326,0.9646,0.98032,0.98486,0.63642,1.40305,0.50295,1.61039,0.000297125,0.000297125,0.000297125
79,13425,0.93042,0.45885,1.15682,0.96605,0.97483,0.98238,0.6341,1.3893,0.4963,1.61917,0.00028475,0.00028475,0.00028475
80,13594.6,0.92601,0.45387,1.14547,0.9562,0.9818,0.9813,0.62966,1.41312,0.51713,1.65472,0.000272375,0.000272375,0.000272375
81,13764,0.91339,0.44917,1.14201,0.96776,0.97082,0.98253,0.62506,1.42867,0.51179,1.67625,0.00026,0.00026,0.00026
82,13933.3,0.92192,0.45201,1.14327,0.9561,0.97568,0.98062,0.62214,1.41342,0.51041,1.64838,0.000247625,0.000247625,0.000247625
83,14100.9,0.90315,0.44757,1.14137,0.95465,0.97396,0.98165,0.63114,1.39739,0.50433,1.62893,0.00023525,0.00023525,0.00023525
84,14270.6,0.8928,0.43972,1.12971,0.96543,0.97024,0.98462,0.63718,1.39969,0.50358,1.63521,0.000222875,0.000222875,0.000222875
85,14440.2,0.89665,0.44554,1.13947,0.96298,0.97732,0.98693,0.6368,1.40293,0.50578,1.62913,0.0002105,0.0002105,0.0002105
86,14609.8,0.89049,0.44039,1.13346,0.96042,0.9801,0.98464,0.62753,1.42205,0.50508,1.67161,0.000198125,0.000198125,0.000198125
87,14779.8,0.88914,0.43908,1.13096,0.96861,0.98233,0.98624,0.63545,1.41713,0.50025,1.6643,0.00018575,0.00018575,0.00018575
88,14950.6,0.87887,0.4348,1.13015,0.96365,0.97949,0.97982,0.62796,1.41411,0.51399,1.66231,0.000173375,0.000173375,0.000173375
89,15120,0.87543,0.43153,1.12324,0.9648,0.97715,0.9829,0.63168,1.41083,0.50565,1.66375,0.000161,0.000161,0.000161
90,15289.6,0.87061,0.42703,1.12258,0.96399,0.98162,0.98451,0.63778,1.4043,0.50048,1.65438,0.000148625,0.000148625,0.000148625
91,15449.4,0.84137,0.3523,1.10107,0.96396,0.9796,0.98669,0.63834,1.40636,0.50019,1.64712,0.00013625,0.00013625,0.00013625
92,15609.2,0.8262,0.34627,1.0917,0.97277,0.97648,0.98605,0.63576,1.41194,0.49433,1.66841,0.000123875,0.000123875,0.000123875
93,15769.4,0.81825,0.34365,1.08873,0.97261,0.97638,0.98488,0.63931,1.409,0.49178,1.67234,0.0001115,0.0001115,0.0001115
94,15930.3,0.81019,0.33973,1.08158,0.97274,0.98229,0.98505,0.63706,1.40417,0.49376,1.6632,9.9125e-05,9.9125e-05,9.9125e-05
95,16089.8,0.81015,0.34111,1.07782,0.975,0.97684,0.98772,0.63505,1.41636,0.48657,1.68208,8.675e-05,8.675e-05,8.675e-05
96,16250.5,0.79897,0.33583,1.07036,0.96719,0.98258,0.98689,0.63549,1.41048,0.489,1.67527,7.4375e-05,7.4375e-05,7.4375e-05
97,16411,0.78868,0.33161,1.06365,0.97448,0.97638,0.98377,0.63831,1.40391,0.4901,1.67551,6.2e-05,6.2e-05,6.2e-05
98,16571.5,0.79039,0.3326,1.0641,0.97028,0.97583,0.98305,0.63877,1.39866,0.48799,1.66858,4.9625e-05,4.9625e-05,4.9625e-05
99,16732.6,0.78159,0.32877,1.05561,0.96606,0.97736,0.98449,0.63591,1.40397,0.49059,1.67614,3.725e-05,3.725e-05,3.725e-05
100,16892.4,0.7821,0.32798,1.06107,0.9705,0.97881,0.98429,0.6362,1.4083,0.48971,1.68457,2.4875e-05,2.4875e-05,2.4875e-05
